a1,a2,a3,a4,a5,a6,class
1,1,1,1,1,2,true
1,1,1,1,2,1,true
1,1,1,1,2,2,true
1,1,1,1,3,1,false
1,1,1,1,4,1,false
1,1,1,2,1,1,true
1,1,1,2,2,2,true
1,1,1,2,4,2,false
1,1,2,1,2,2,true
1,1,2,1,4,2,false
1,1,2,2,2,2,true
1,1,2,2,4,1,false
1,1,2,2,4,2,false
1,1,2,3,1,1,true
1,1,2,3,1,2,true
1,1,2,3,3,1,true
1,1,2,3,3,2,true
1,2,1,1,3,1,true
1,2,1,2,2,1,true
1,2,1,2,2,2,true
1,2,1,2,3,1,false
1,2,1,3,1,1,true
1,2,1,3,1,2,true
1,2,1,3,2,1,true
1,2,1,3,2,2,true
1,2,1,3,3,2,true
1,2,1,3,4,1,false
1,2,2,1,3,1,true
1,2,2,1,4,2,false
1,2,2,2,1,1,true
1,2,2,2,2,1,true
1,2,2,2,2,2,true
1,2,2,3,1,1,true
1,2,2,3,2,1,true
1,2,2,3,2,2,true
1,3,1,1,2,1,false
1,3,1,1,4,1,false
1,3,1,2,3,2,false
1,3,1,2,4,1,false
1,3,1,3,1,1,false
1,3,1,3,3,1,false
1,3,2,1,1,1,false
1,3,2,1,1,2,false
1,3,2,1,2,1,false
1,3,2,1,4,2,false
1,3,2,2,3,2,false
1,3,2,2,4,2,false
1,3,2,3,4,1,false
2,1,1,1,1,1,true
2,1,1,1,1,2,true
2,1,1,1,4,1,false
2,1,1,1,4,2,false
2,1,1,2,1,1,true
2,1,1,2,1,2,true
2,1,1,3,2,2,true
2,1,1,3,3,2,true
2,1,1,3,4,1,false
2,1,2,1,2,2,true
2,1,2,2,4,1,false
2,1,2,3,1,2,true
2,2,1,1,3,2,true
2,2,1,1,4,2,false
2,2,1,2,1,2,true
2,2,1,2,2,1,false
2,2,1,3,1,1,true
2,2,1,3,2,2,true
2,2,1,3,3,1,false
2,2,1,3,3,2,false
2,2,1,3,4,2,false
2,2,2,1,2,2,true
2,2,2,2,1,2,true
2,2,2,2,3,1,true
2,2,2,2,3,2,true
2,2,2,3,4,1,false
2,3,1,1,3,1,true
2,3,1,2,1,1,false
2,3,1,2,2,1,false
2,3,1,2,2,2,false
2,3,1,2,3,2,false
2,3,1,3,3,1,false
2,3,2,1,1,2,false
2,3,2,1,2,2,false
2,3,2,1,4,1,false
2,3,2,2,3,1,false
2,3,2,2,4,2,false
2,3,2,3,1,1,false
2,3,2,3,2,1,false
2,3,2,3,4,2,false
3,1,1,1,1,1,true
3,1,1,1,2,1,true
3,1,1,1,3,1,true
3,1,1,2,4,2,false
3,1,1,3,1,2,true
3,1,1,3,4,2,false
3,1,2,1,2,1,true
3,1,2,2,3,2,true
3,1,2,2,4,2,false
3,1,2,3,1,1,true
3,2,1,1,2,2,true
3,2,1,1,4,1,false
3,2,1,2,3,1,true
3,2,1,3,1,2,true
3,2,2,1,2,2,true
3,2,2,1,3,2,true
3,2,2,2,1,2,true
3,2,2,3,1,1,true
3,2,2,3,3,2,true
3,2,2,3,4,1,false
3,3,1,1,3,2,true
3,3,1,1,4,1,true
3,3,1,2,4,2,false
3,3,1,3,1,1,false
3,3,1,3,2,1,false
3,3,1,3,2,2,false
3,3,1,3,4,1,false
3,3,2,1,1,1,false
3,3,2,1,1,2,false
3,3,2,2,2,2,false
3,3,2,2,3,2,false
3,3,2,3,1,1,false
3,3,2,3,3,2,false
3,3,2,3,4,2,false
1,1,1,1,1,1,true
1,1,1,1,1,2,true
1,1,1,1,2,1,true
1,1,1,1,2,2,true
1,1,1,1,3,1,true
1,1,1,1,3,2,true
1,1,1,1,4,1,false
1,1,1,1,4,2,false
1,1,1,2,1,1,true
1,1,1,2,1,2,true
1,1,1,2,2,1,true
1,1,1,2,2,2,true
1,1,1,2,3,1,true
1,1,1,2,3,2,true
1,1,1,2,4,1,false
1,1,1,2,4,2,false
1,1,1,3,1,1,true
1,1,1,3,1,2,true
1,1,1,3,2,1,true
1,1,1,3,2,2,true
1,1,1,3,3,1,true
1,1,1,3,3,2,true
1,1,1,3,4,1,false
1,1,1,3,4,2,false
1,1,2,1,1,1,true
1,1,2,1,1,2,true
1,1,2,1,2,1,true
1,1,2,1,2,2,true
1,1,2,1,3,1,true
1,1,2,1,3,2,true
1,1,2,1,4,1,false
1,1,2,1,4,2,false
1,1,2,2,1,1,true
1,1,2,2,1,2,true
1,1,2,2,2,1,true
1,1,2,2,2,2,true
1,1,2,2,3,1,true
1,1,2,2,3,2,true
1,1,2,2,4,1,false
1,1,2,2,4,2,false
1,1,2,3,1,1,true
1,1,2,3,1,2,true
1,1,2,3,2,1,true
1,1,2,3,2,2,true
1,1,2,3,3,1,true
1,1,2,3,3,2,true
1,1,2,3,4,1,false
1,1,2,3,4,2,false
1,2,1,1,1,1,true
1,2,1,1,1,2,true
1,2,1,1,2,1,true
1,2,1,1,2,2,true
1,2,1,1,3,1,true
1,2,1,1,3,2,true
1,2,1,1,4,1,false
1,2,1,1,4,2,false
1,2,1,2,1,1,true
1,2,1,2,1,2,true
1,2,1,2,2,1,true
1,2,1,2,2,2,true
1,2,1,2,3,1,true
1,2,1,2,3,2,true
1,2,1,2,4,1,false
1,2,1,2,4,2,false
1,2,1,3,1,1,true
1,2,1,3,1,2,true
1,2,1,3,2,1,true
1,2,1,3,2,2,true
1,2,1,3,3,1,true
1,2,1,3,3,2,true
1,2,1,3,4,1,false
1,2,1,3,4,2,false
1,2,2,1,1,1,true
1,2,2,1,1,2,true
1,2,2,1,2,1,true
1,2,2,1,2,2,true
1,2,2,1,3,1,true
1,2,2,1,3,2,true
1,2,2,1,4,1,false
1,2,2,1,4,2,false
1,2,2,2,1,1,true
1,2,2,2,1,2,true
1,2,2,2,2,1,true
1,2,2,2,2,2,true
1,2,2,2,3,1,true
1,2,2,2,3,2,true
1,2,2,2,4,1,false
1,2,2,2,4,2,false
1,2,2,3,1,1,true
1,2,2,3,1,2,true
1,2,2,3,2,1,true
1,2,2,3,2,2,true
1,2,2,3,3,1,true
1,2,2,3,3,2,true
1,2,2,3,4,1,false
1,2,2,3,4,2,false
1,3,1,1,1,1,false
1,3,1,1,1,2,false
1,3,1,1,2,1,false
1,3,1,1,2,2,false
1,3,1,1,3,1,true
1,3,1,1,3,2,true
1,3,1,1,4,1,false
1,3,1,1,4,2,false
1,3,1,2,1,1,false
1,3,1,2,1,2,false
1,3,1,2,2,1,false
1,3,1,2,2,2,false
1,3,1,2,3,1,false
1,3,1,2,3,2,false
1,3,1,2,4,1,false
1,3,1,2,4,2,false
1,3,1,3,1,1,false
1,3,1,3,1,2,false
1,3,1,3,2,1,false
1,3,1,3,2,2,false
1,3,1,3,3,1,false
1,3,1,3,3,2,false
1,3,1,3,4,1,false
1,3,1,3,4,2,false
1,3,2,1,1,1,false
1,3,2,1,1,2,false
1,3,2,1,2,1,false
1,3,2,1,2,2,false
1,3,2,1,3,1,true
1,3,2,1,3,2,true
1,3,2,1,4,1,false
1,3,2,1,4,2,false
1,3,2,2,1,1,false
1,3,2,2,1,2,false
1,3,2,2,2,1,false
1,3,2,2,2,2,false
1,3,2,2,3,1,false
1,3,2,2,3,2,false
1,3,2,2,4,1,false
1,3,2,2,4,2,false
1,3,2,3,1,1,false
1,3,2,3,1,2,false
1,3,2,3,2,1,false
1,3,2,3,2,2,false
1,3,2,3,3,1,false
1,3,2,3,3,2,false
1,3,2,3,4,1,false
1,3,2,3,4,2,false
2,1,1,1,1,1,true
2,1,1,1,1,2,true
2,1,1,1,2,1,true
2,1,1,1,2,2,true
2,1,1,1,3,1,true
2,1,1,1,3,2,true
2,1,1,1,4,1,false
2,1,1,1,4,2,false
2,1,1,2,1,1,true
2,1,1,2,1,2,true
2,1,1,2,2,1,true
2,1,1,2,2,2,true
2,1,1,2,3,1,true
2,1,1,2,3,2,true
2,1,1,2,4,1,false
2,1,1,2,4,2,false
2,1,1,3,1,1,true
2,1,1,3,1,2,true
2,1,1,3,2,1,true
2,1,1,3,2,2,true
2,1,1,3,3,1,true
2,1,1,3,3,2,true
2,1,1,3,4,1,false
2,1,1,3,4,2,false
2,1,2,1,1,1,true
2,1,2,1,1,2,true
2,1,2,1,2,1,true
2,1,2,1,2,2,true
2,1,2,1,3,1,true
2,1,2,1,3,2,true
2,1,2,1,4,1,false
2,1,2,1,4,2,false
2,1,2,2,1,1,true
2,1,2,2,1,2,true
2,1,2,2,2,1,true
2,1,2,2,2,2,true
2,1,2,2,3,1,true
2,1,2,2,3,2,true
2,1,2,2,4,1,false
2,1,2,2,4,2,false
2,1,2,3,1,1,true
2,1,2,3,1,2,true
2,1,2,3,2,1,true
2,1,2,3,2,2,true
2,1,2,3,3,1,true
2,1,2,3,3,2,true
2,1,2,3,4,1,false
2,1,2,3,4,2,false
2,2,1,1,1,1,true
2,2,1,1,1,2,true
2,2,1,1,2,1,true
2,2,1,1,2,2,true
2,2,1,1,3,1,true
2,2,1,1,3,2,true
2,2,1,1,4,1,false
2,2,1,1,4,2,false